Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
TDW,61.045,14-11-2023,14:36 EST,0.4149971,60.94,61.8,60.315,338963,20231114,61.045,1,0,,,
FAST,61.035,14-11-2023,14:36 EST,1.3950005,60.24,61.035,60.07,1870671,20231114,61.035,1,0,,,
KALU,61.02,14-11-2023,14:34 EST,5.0699997,58,61.13,57.5425,50494,20231114,61.02,1,0,,,
RBA,60.98,14-11-2023,14:36 EST,1.3100014,60.38,61.23,59.76,1470243,20231114,60.98,1,0,,,
OGS,60.96,14-11-2023,14:36 EST,1.9399986,60.5,61.55,60.17,413640,20231114,60.96,1,0,,,
SWX,60.85,14-11-2023,14:32 EST,2.72,59.68,61.12,59.6485,170106,20231114,60.85,1,0,,,
FOXF,60.73,14-11-2023,14:34 EST,4.220001,57.97,61.31,57.69,362880,20231114,60.73,1,0,,,
TWLO,60.67,14-11-2023,14:36 EST,2.2299995,59.9,61.54,59.71,3350001,20231114,60.67,1,0,,,
BUDFF,60.64,14-11-2023,12:59 EST,1.1399994,60.3,61.05,60.28,1622,20231114,60.64,1,0,,,
QDEL,60.53,14-11-2023,14:36 EST,2.1299973,60.25,61.0439,59.855,331617,20231114,60.53,1,0,,,
BERY,60.465,14-11-2023,14:36 EST,2.9749985,58.73,60.5,58.78,474163,20231114,60.465,1,0,,,
SCI,60.435,14-11-2023,14:36 EST,2.125,59.35,60.61,59.215,493747,20231114,60.435,1,0,,,
EWBC,60.42,14-11-2023,14:36 EST,3.3099976,58.12,61.265,58.12,811474,20231114,60.42,1,0,,,
CATC,60.32,14-11-2023,14:33 EST,4.919998,57.66,60.75,57.6,79961,20231114,60.32,1,0,,,
PMMAF,60.2888,14-11-2023,09:42 EST,1.778801,58.51,60.2888,58.51,680,20231114,60.2888,1,0,,,
CEVMF,60.21,11-10-2023,09:37 EDT,0,60.21,60.21,60.21,15,20231114,60.21,1,0,,,
BIOQ,60,25-09-2023,12:55 EDT,0,60,60,60,6,20231114,60,1,0,,,
FFMR,60,14-11-2023,14:17 EST,0.009998322,59.99,60,59.99,370,20231114,60,1,0,,,
XEL,59.995,14-11-2023,14:36 EST,1.7249985,59.11,60.5,59.3979,2151608,20231114,59.995,1,0,,,
NATI,59.98,10-10-2023,16:00 EDT,0,59.98,59.98,59.98,4624890,20231114,59.98,1,0,,,
PDS,59.895,14-11-2023,14:18 EST,0.825001,59.6,60.51,59.29,29429,20231114,59.895,1,0,,,
TECH,59.89,14-11-2023,14:36 EST,2.790001,59.27,60.6275,59.22,534885,20231114,59.89,1,0,,,
SHAK,59.84,14-11-2023,14:36 EST,4.3199997,57.19,59.93,57.09,475418,20231114,59.84,1,0,,,
JBARF,59.75,13-11-2023,11:32 EST,0,59.32,59.75,59.75,2617,20231114,59.75,1,0,,,
PLMR,59.735,14-11-2023,14:36 EST,-0.93499756,61.92,62.12,59.685,49576,20231114,59.735,1,0,,,
TAP,59.62,14-11-2023,14:36 EST,1.1100006,59.24,59.77,59.07,514692,20231114,59.62,1,0,,,
OTCM,59.25,14-11-2023,14:21 EST,2,57.48,59.25,57.48,4333,20231114,59.25,1,0,,,
PBH,59.24,14-11-2023,14:35 EST,0.9700012,59.22,59.97,59.01,113707,20231114,59.24,1,0,,,
MAS,59.195,14-11-2023,14:36 EST,3.5750008,55.81,59.44,57.09,1778369,20231114,59.195,1,0,,,
SR,59.14,14-11-2023,14:36 EST,1.9099998,58.6,59.71,58.61,185809,20231114,59.14,1,0,,,
CNXN,59.03,14-11-2023,14:28 EST,0.8199997,58.82,59.38,58.2,29854,20231114,59.03,1,0,,,
CYVF,59,08-11-2023,10:48 EST,0,59,59,59,2,20231114,59,1,0,,,
KNBHF,59,09-11-2023,10:09 EST,0,59,59,59,98,20231114,59,1,0,,,
FWONA,58.9,14-11-2023,14:35 EST,-0.11999893,60.09,60.84,58.9,101959,20231114,58.9,1,0,,,
NUVL,58.7,14-11-2023,14:36 EST,1.7999992,59.18,60.08,58.27,390001,20231114,58.7,1,0,,,
BYD,58.67,14-11-2023,14:36 EST,2.3599968,57.83,59.06,57.75,452779,20231114,58.67,1,0,,,
PB,58.6486,14-11-2023,14:36 EST,3.3386002,56.96,59.37,56.48,357728,20231114,58.6486,1,0,,,
EUZOF,58.64,12-10-2023,12:55 EDT,0,58.64,58.64,58.64,599,20231114,58.64,1,0,,,
ERFSF,58.62,14-11-2023,13:42 EST,3.4399986,57.788,58.62,57.788,21,20231114,58.62,1,0,,,
FWONB,58.5,21-09-2023,09:55 EDT,0,58.5,58.5,58.5,83,20231114,58.5,1,0,,,
BNPQF,58.454,13-11-2023,14:38 EST,0,58.454,58.454,58.454,994,20231114,58.454,1,0,,,
AAP,58.25,14-11-2023,14:36 EST,2.3100014,58,60.5069,57.45,1422708,20231114,58.25,1,0,,,
MTDR,58.245,14-11-2023,14:35 EST,0.47499847,58.1,58.64,57.37,664628,20231114,58.245,1,0,,,
THC,58.11,14-11-2023,14:36 EST,3.2400017,57.12,58.65,57.05,835104,20231114,58.11,1,0,,,
CBZ,58.055,14-11-2023,14:35 EST,1.4049988,57.11,58.105,57.07,87012,20231114,58.055,1,0,,,
CQP,58.04,14-11-2023,14:35 EST,0.40999985,58.13,58.4763,57.11,84995,20231114,58.04,1,0,,,
FRPH,58.01,14-11-2023,14:22 EST,1.6099968,57.55,58.25,57.4855,7584,20231114,58.01,1,0,,,
LSCC,57.97,14-11-2023,14:36 EST,3.1100006,57.32,58.49,56.6359,1377664,20231114,57.97,1,0,,,
ALRM,57.87,14-11-2023,14:36 EST,2.4899979,56.73,58.08,55.74,215499,20231114,57.87,1,0,,,
THVB,57.84,14-11-2023,12:38 EST,0,57.84,57.84,57.84,250,20231114,57.84,1,0,,,
STNG,57.815,14-11-2023,14:36 EST,-0.3350029,58.24,58.7399,56.41,881746,20231114,57.815,1,0,,,
QTGPF,57.76,01-11-2023,15:59 EDT,0,57.76,57.76,57.76,7,20231114,57.76,1,0,,,
BOH,57.7,14-11-2023,14:35 EST,5.040001,54.98,58.26,54.765,363325,20231114,57.7,1,0,,,
SEIC,57.68,14-11-2023,14:31 EST,1.5,56.69,57.86,56.69,185397,20231114,57.68,1,0,,,
ODC,57.625,14-11-2023,14:34 EST,-0.9049988,59.68,59.36,57.4,13623,20231114,57.625,1,0,,,
BILL,57.505,14-11-2023,14:36 EST,0.50500107,58.15,59.345,57.24,3267298,20231114,57.505,1,0,,,
LRN,57.39,14-11-2023,14:35 EST,0.6499977,56.93,57.85,56.681,307200,20231114,57.39,1,0,,,
NARI,57.39,14-11-2023,14:36 EST,1.2249985,56.9,58.695,56.9,380221,20231114,57.39,1,0,,,
NEE,57.325,14-11-2023,14:36 EST,2.8250008,56.08,57.425,55.45,7964923,20231114,57.325,1,0,,,
COIHF,57.27,14-11-2023,10:31 EST,1.4000015,57.27,57.27,57.27,2044,20231114,57.27,1,0,,,
ANCTF,57.2,14-11-2023,14:19 EST,0.17000198,57.18,57.6734,57.18,4912,20231114,57.2,1,0,,,
GXO,57.05,14-11-2023,14:36 EST,3.2000008,55.15,57.355,55.22,469108,20231114,57.05,1,0,,,
MRVL,57.05,14-11-2023,14:36 EST,3.5999985,55.49,57.425,55.33,6789620,20231114,57.05,1,0,,,
IMO,57.0475,14-11-2023,14:29 EST,0.3475,57.08,57.34,56.6353,236129,20231114,57.0475,1,0,,,
KO,57.045,14-11-2023,14:36 EST,0.114997864,57.02,57.24,56.805,7539317,20231114,57.045,1,0,,,
TCBI,57.03,14-11-2023,14:36 EST,2.6399994,56.64,58.535,56.41,261406,20231114,57.03,1,0,,,
DCCPF,56.995,09-11-2023,09:39 EST,0,56.995,56.995,56.995,352,20231114,56.995,1,0,,,
DFIN,56.79,14-11-2023,14:31 EST,1.74,56.29,57.1573,56.16,67125,20231114,56.79,1,0,,,
COOP,56.78,14-11-2023,14:36 EST,1.1100006,56.66,56.94,55.82,804697,20231114,56.78,1,0,,,
CMS,56.7,14-11-2023,14:36 EST,1.3899994,56.58,56.99,56.38,1091681,20231114,56.7,1,0,,,
PYPL,56.695,14-11-2023,14:36 EST,2.3050003,55.49,57.185,55.42,11069056,20231114,56.695,1,0,,,
RICK,56.68,14-11-2023,14:32 EST,1.8600006,55.98,57.345,55.9,46264,20231114,56.68,1,0,,,
ITCI,56.61,14-11-2023,14:35 EST,2.2400017,56,56.77,55.785,254752,20231114,56.61,1,0,,,
NTR,56.58,14-11-2023,14:36 EST,2.2800026,56,56.87,55.9,1080152,20231114,56.58,1,0,,,
MRTX,56.49,14-11-2023,14:36 EST,0.23000336,56.48,56.75,56.25,512868,20231114,56.49,1,0,,,
CNS,56.35,14-11-2023,14:34 EST,4.2199974,53.92,56.35,54.07,83717,20231114,56.35,1,0,,,
INDB,56.325,14-11-2023,14:35 EST,4.4850006,54.14,56.92,53.96,149037,20231114,56.325,1,0,,,
FAF,56.22,14-11-2023,14:36 EST,2.9900017,54.5,56.31,53.825,730865,20231114,56.22,1,0,,,
AXNX,56.08,14-11-2023,14:36 EST,3.5200005,54.13,56.6,53.995,310935,20231114,56.08,1,0,,,
LGND,56.07,14-11-2023,14:35 EST,0.9000015,56.5,57.41,55.48,87309,20231114,56.07,1,0,,,
KRUS,56.03,14-11-2023,14:36 EST,3.3199997,55.12,57.65,53.79,94679,20231114,56.03,1,0,,,
CIR,56,17-10-2023,16:00 EDT,2.75,55.98,56,55.97,2922122,20231114,56,1,0,,,
GOLF,56,14-11-2023,14:34 EST,1.3699989,56.52,56.77,55.7,130091,20231114,56,1,0,,,
ES,55.93,14-11-2023,14:36 EST,2.9000015,54.59,56.3,54.24,1431260,20231114,55.93,1,0,,,
DINRF,55.88,06-11-2023,13:16 EST,0,56.12,55.88,55.88,8,20231114,55.88,1,0,,,
LKFN,55.855,14-11-2023,14:36 EST,3.875,52.9,56,52.9,56541,20231114,55.855,1,0,,,
CFFI,55.85,14-11-2023,14:29 EST,1.2399979,51,56.27,51,3531,20231114,55.85,1,0,,,
TRU,55.82,14-11-2023,14:36 EST,3.5200005,54.23,56.13,54.13,2244655,20231114,55.82,1,0,,,
ATGE,55.8,14-11-2023,14:34 EST,0.61999893,56.16,56.34,55.15,202695,20231114,55.8,1,0,,,
DTM,55.765,14-11-2023,14:34 EST,0.875,55.27,55.887,55.2401,169556,20231114,55.765,1,0,,,
PCOR,55.7,14-11-2023,14:36 EST,3.4700012,54,56.93,53.925,854834,20231114,55.7,1,0,,,
UNTC,55.54,14-11-2023,14:17 EST,-0.02999878,55.88,55.88,55.25,15205,20231114,55.54,1,0,,,
GFS,55.435,14-11-2023,14:36 EST,3.3050003,54.01,56.05,53.71,1225350,20231114,55.435,1,0,,,
MNST,55.43,14-11-2023,14:36 EST,-0.11000061,56,56.1,55.29,2244359,20231114,55.43,1,0,,,
BL,55.4,14-11-2023,14:35 EST,3.2600021,54,55.47,53.54,548541,20231114,55.4,1,0,,,
SCHW,55.22,14-11-2023,14:36 EST,1.2600021,55.6,55.935,54.24,10406183,20231114,55.22,1,0,,,
MGA,55.18,14-11-2023,14:36 EST,2.7000008,53.53,55.35,53.58,517346,20231114,55.18,1,0,,,
AXS,55.13,14-11-2023,14:36 EST,0.5400009,54.7,55.14,54.41,190991,20231114,55.13,1,0,,,
DINO,55.11,14-11-2023,14:36 EST,0.9000015,54.38,55.52,54.36,842996,20231114,55.11,1,0,,,
AMPH,55.05,14-11-2023,14:36 EST,1.5,54.53,56.92,54.155,449683,20231114,55.05,1,0,,,
TMP,55.02,14-11-2023,14:28 EST,3.91,52.66,55.27,53.23,20596,20231114,55.02,1,0,,,
FCHRF,55,17-10-2023,09:31 EDT,0,55,55,55,100,20231114,55,1,0,,,
ALE,54.925,14-11-2023,14:36 EST,2.1324997,54.02,55.1299,53.955,121632,20231114,54.925,1,0,,,
BRC,54.88,14-11-2023,14:33 EST,1.2299995,54.29,55.175,54.395,83919,20231114,54.88,1,0,,,
SAH,54.83,14-11-2023,14:35 EST,5.200001,51.87,54.9,51.67,163993,20231114,54.83,1,0,,,
TYHOF,54.82,03-10-2023,11:59 EDT,0,54.82,54.82,54.82,100,20231114,54.82,1,0,,,
SON,54.78,14-11-2023,14:35 EST,1.5,54,54.9,53.6,249348,20231114,54.78,1,0,,,
SQ,54.76,14-11-2023,14:36 EST,2.7399979,53.96,54.95,53.82,10522357,20231114,54.76,1,0,,,
UHAL,54.745,14-11-2023,14:34 EST,2.6450005,52.93,54.745,52.41,132186,20231114,54.745,1,0,,,
VONHF,54.7,10-11-2023,11:19 EST,0,54.7,54.7,54.7,50,20231114,54.7,1,0,,,
KBH,54.62,14-11-2023,14:36 EST,3.7999992,53,54.74,52.65,1233703,20231114,54.62,1,0,,,
MUEL,54.5,14-11-2023,11:15 EST,0.049999237,54.5,54.5,54.5,1025,20231114,54.5,1,0,,,
SMG,54.495,14-11-2023,14:36 EST,4.5049973,51.9,54.8877,51.595,391185,20231114,54.495,1,0,,,
